1,a,
2,a,
3,a,
4,a,
5,b,
6,a,
7,a,
8,a,
9,a,
10,b,
11,a,
12,a,
13,a,
14,b,
15,c,
16,b,
17,b]
18,a,
19,a,
20,a,
21,a,
22,a,
23,a,
24,a,
25,a,
26,a,
27,a,
28,a]
29,a,
30,a,
31,a,
32,a,
33,a,
34,a,
35,b,
36,a,
37,a,
38,a, 
39,a,
40,a,
41,a,
42,a,
43,a,
44,a,
45,a]
46,b,
47,a,
48,a,
49,a,
50,a, 
51,b,
52,a,
53,a,
54,a,
55,a,
56,a,
57,b]
58,a,
59,a,
60,a,
61,a,
62,a,
66,a,
64,a,
65,a,
66,a,
67,b,
68,a,
69,a,
70,a,
71,a,
72,a,
73,a,
74,a,
75,a,
76,a,
77,a,
78,a,
79,a,
80,a,
81,a,
82,a,
83,a,
84,a]
85,a,
86,a,
87,a,
88,a,
89,a,
90,a,
91,a,
92,a,
93,a,
94,a,
95,a,
96,a,
97,a,
98,a]
99,a,
100,a,
101,a,
102,a,
103,a]
104,a,	
105,a,
106,a,
107,a,
108,a,
109,b,
110,a,
111,b,
112,a]
113,a,
114,a,
115,a,
116,a]
117,a,	
118,a,
119,a,
120,a]
121,b,
122,b,
123,b]
124,a,
125,b,
126,b,
127,a,
128,b,
129,b]
130,b,
131,c,
132,c,
133,a,
134,b,
135,a,
136,a]
137,a,
138,a,
139,a,
140,a,	
141,b,
142,a,	
143,b,
144,c,
145,b]
146,a,
147,a,
148,b,
149,b,
150,a]
151,a,
152,a,
153,a,
154,a,
155,a,
156,a,
157,a,
158,a,
159,b,
160,a,
161,a]
162,a,
163,a,
164,a,
165,a,
166,a,
167,a,
168,a,
169,a,
170,a,
171,a,
172,a,
173,c]
174,a,
175,a,
176,b,
177,b,
178,a,
179,a,
180,b,
181,c,
182,c,
183,c,
184,a,
185,c,
186,a,
187,a,
188,a,
189,a,
190,a,
191,a,
192,a,
193,a,
194,a]
