1,a,
2,a,
3,a,
4,a,
5,b,
6,b,
7,a,
8,a,
9,c,
10,c,
11,a,
12,b,
13,a,
14,b,
15,b,
16,b,
17,a]
18,a,
19,a,
20,a,
21,c,
22,a,
23,a,
24,a,
25,a,
25,b,
27,c,
28,c]
29,a,
30,a,
31,a,
32,a,
33,a,
34,a,
35,b,
36,a,
37,c,
38,a,
39,a,
40,b,
41,a,
42,a,
43,a,
44,a,
45,c]
46,a,
47,b,
48,c,
49,a,
50,a,
51,b,
52,a,
53,a,
54,b,
55,c,
56,c,
57,c]
58,a,
59,a,
60,c,
61,a,
62,a,
63,a,
64,a,
65,a,
66,a,
67,a,
68,a,
69,b,
70,a,
71,a,
72,a,
73,a,
74,c,
75,c,
76,a,
77,a,
78,a,
79,c,
80,a,
81,a,
82,c,
83,c,
84,a]
85,b,
86,c,
87,a,
88,a,
89,a,
90,a,
91,c,
92,a,
93,c,
94,a,
95,b,
96,a,
97,a,
98,b]
99,a,
100,a,
101,a,
102,a,
103,a]
104,a,
105,a,
106,c,
107,a,
108,a,
109,a,
110,c,
111,a,
112,a]
113,a,
114,b,
115,a,
116,a]
117,a,
118,a,
119,a,
120,b]
121,b,
122,b,
123,b]
124,b,
125,b,
126,a,
127,a,
128,c,
129,a]
130,a,
131,c,
132,b,
133,b,
134,b,
135,c,
136,c]
137,a,
138,a,
139,a,
140,a,
141,b,
142,a,
143,a,
144,a,
145,b]
146,b,
147,b,
148,b,
149,b,
150,a]
151,a,
152,a,
153,a,
154,a,
155,a,
156,c,
157,a,
158,a,
159,b,
160,c,
161,c]
162,a,
163,a,
164,a,
165,a,
166,a,
167,a,
168,a,
169,a,
170,a,
171,a,
172,a,
173,a]
174,a,
175,a,
176,b,
177,c,
178,c,
179,c,
180,c,
181,c,
182,c,
183,a,
184,a,
185,c,
186,a,
187,a,
188,c,
189,a,
190,a,
191,a,
192,c,
193,a,
194,a]
